Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_4 , Comp ,10,6,0.2,0.3,7,8.478569,0," [[9], [0], [1], [4], [6], [5, 8]]",7,0,0.064412,0," [[1, 5], [8], [4], [9], [0], [6]]",7,0,0.065999,0," [[1, 5], [8], [4], [9], [0], [6]]"
eilon10_5 , Comp ,10,6,0.2,0.3,6,5.029238,0," [[1], [9], [2], [6], [8], [7]]",6,0,0.060936,0," [[7], [1], [9], [3], [6], [2]]",6,0,0.071429,0," [[7], [1], [9], [3], [6], [2]]"
eilon10_1 , Comp ,10,2,0.2,0.5,6,0.150056,0," [[4, 6, 8, 9], [0, 7]]",6,0,0.020475,0," [[2, 5], [4, 6, 8, 9]]",6,0,0.020917,0," [[2, 5], [4, 6, 8, 9]]"
eilon10_2 , Comp ,10,2,0.2,0.5,7,0.126242,0," [[1, 6, 8, 9], [3, 5, 7]]",7,0,0.020504,0," [[1, 6, 8, 9], [3, 5, 7]]",7,0,0.019534,0," [[1, 6, 8, 9], [3, 5, 7]]"
eilon10_3 , Comp ,10,2,0.2,0.5,6,0.143036,0," [[1, 3, 8], [2, 6, 9]]",6,0,0.015773,0," [[1, 3, 8], [4, 6, 9]]",6,0,0.01645,0," [[1, 3, 8], [4, 6, 9]]"
eilon10_4 , Comp ,10,2,0.2,0.5,6,0.189161,0," [[1, 5], [0, 4, 8, 9]]",6,0,0.01662,0," [[6, 7], [1, 5, 8, 9]]",6,0,0.016187,0," [[6, 7], [1, 5, 8, 9]]"
eilon10_5 , Comp ,10,2,0.2,0.5,5,0.170041,0," [[3, 4, 6], [7, 9]]",5,0,0.016387,0," [[1, 2, 6], [0, 3]]",5,0,0.017867,0," [[1, 2, 6], [0, 3]]"
eilon10_1 , Comp ,10,6,0.2,0.5,7,9.415221,0," [[9], [4], [8], [1], [0, 7], [6]]",7,0,0.059561,0," [[2, 5], [1], [4], [8], [9], [6]]",7,0,0.062397,0," [[2, 5], [1], [4], [8], [9], [6]]"
eilon10_2 , Comp ,10,6,0.2,0.5,9,0.572771,0," [[7], [3, 8, 9], [4], [5], [1, 6], [2]]",9,0,0.046027,0," [[1, 2], [4, 7], [5], [3], [8], [6, 9]]",9,0,0.048913,0," [[1, 2], [4, 7], [5], [3], [8], [6, 9]]"
eilon10_3 , Comp ,10,6,0.2,0.5,9,1.47072,0," [[7], [0], [1, 3, 8], [9], [4, 6], [5]]",9,0,0.053186,0," [[0, 7], [4, 6, 9], [2], [3], [1], [8]]",9,0,0.051489,0," [[0, 7], [4, 6, 9], [2], [3], [1], [8]]"
eilon10_4 , Comp ,10,6,0.2,0.5,10,0.64815,0," [[5, 9], [2, 3], [6, 7], [0, 4], [8], [1]]",10,0,0.04329,0," [[6, 7], [2, 3], [1], [9], [0, 4], [5, 8]]",10,0,0.042325,0," [[6, 7], [2, 3], [1], [9], [0, 4], [5, 8]]"
