Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon50 , Matching ,50,6,0.1,0.5,29,3600.007006,0.689655," [[44, 46, 47, 49], [25, 27, 28, 29], [34, 35, 36, 39], [10, 13, 18, 20, 23], [2, 7, 9, 12, 14, 15], [11, 16, 17, 19, 21, 22]]",29,3,3.634993,0," [[10, 13, 18, 20, 23], [34, 35, 36, 39], [44, 46, 47, 49], [40, 42, 43, 48], [2, 7, 9, 12, 14, 15], [11, 16, 17, 19, 21, 22]]",29,3,3.523237,0," [[10, 13, 18, 20, 23], [34, 35, 36, 39], [44, 46, 47, 49], [40, 42, 43, 48], [2, 7, 9, 12, 14, 15], [11, 16, 17, 19, 21, 22]]"
eilon50 , Matching ,50,10,0.1,0.5,43,3600.017499,0.162791," [[11, 16, 17, 19, 21, 22], [2, 7, 9, 12, 14, 15], [10, 13, 18, 20, 23], [31, 32, 37], [3, 5, 6, 8], [25, 27, 28, 29], [34, 35, 36, 39], [40, 42, 43, 48], [38, 41, 45], [44, 46, 47, 49]]",43,0,13.778533,0," [[31, 32, 37], [34, 35, 36, 39], [10, 13, 18, 20, 23], [3, 5, 6, 8], [44, 46, 47, 49], [40, 42, 43, 48], [38, 41, 45], [25, 27, 28, 29], [2, 7, 9, 12, 14, 15], [11, 16, 17, 19, 21, 22]]",43,0,13.960265,0," [[31, 32, 37], [34, 35, 36, 39], [10, 13, 18, 20, 23], [3, 5, 6, 8], [44, 46, 47, 49], [40, 42, 43, 48], [38, 41, 45], [25, 27, 28, 29], [2, 7, 9, 12, 14, 15], [11, 16, 17, 19, 21, 22]]"
eilon50 , Matching ,50,2,0.2,0.3,20,10.909839,0," [[1, 5, 8, 10, 11, 13, 16, 17, 19, 20, 21, 22], [2, 4, 12, 14, 15, 18, 23, 24]]",20,186,6.089943,0," [[10, 11, 13, 16, 17, 19, 20, 21, 22, 23, 26], [2, 4, 7, 9, 12, 14, 15, 18, 24]]",20,186,6.403043,0," [[10, 11, 13, 16, 17, 19, 20, 21, 22, 23, 26], [2, 4, 7, 9, 12, 14, 15, 18, 24]]"
eilon50 , Matching ,50,6,0.2,0.3,46,799.7194,0," [[18, 24, 30, 31, 32, 37], [2, 4, 7, 9, 10, 12, 13, 14, 15, 23], [34, 35, 36, 39, 44, 46, 47, 49], [27, 28, 29, 33, 38, 41, 45], [0, 1, 3, 5, 6, 8, 22], [11, 16, 17, 19, 20, 21, 25, 26]]",46,1029,90.702377,0," [[2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [11, 19, 20, 26, 30], [16, 17, 21, 25, 27, 28, 29], [0, 1, 3, 5, 6, 8, 22], [33, 34, 35, 36, 44, 46, 47, 49], [32, 37, 39, 40, 42, 43, 48]]",46,1029,91.551439,0," [[2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [11, 19, 20, 26, 30], [16, 17, 21, 25, 27, 28, 29], [0, 1, 3, 5, 6, 8, 22], [33, 34, 35, 36, 44, 46, 47, 49], [32, 37, 39, 40, 42, 43, 48]]"
eilon50 , Matching ,50,10,0.2,0.3,50,6.637906,0," [[1, 5, 8, 10, 11, 13, 17, 19, 20, 21], [2, 4, 7, 9, 12, 14, 15, 18, 24], [26, 30, 35, 37], [31, 32, 40, 42, 43, 48], [33, 36, 44, 46, 47, 49], [23, 34], [0, 3, 6, 16, 25], [22, 28, 29], [27, 38, 41, 45], [39]]",50,70,6.380864,0," [[27, 28, 29, 38, 41, 45], [33, 34, 35, 36, 39, 44, 46, 47, 49], [0], [3, 5, 6, 8, 16, 21, 25], [13], [2, 4, 7, 9, 10, 24], [19, 22, 26, 30], [1, 11, 17, 20], [12, 14, 15, 18, 23], [31, 32, 37, 40, 42, 43, 48]]",50,70,6.417405,0," [[27, 28, 29, 38, 41, 45], [33, 34, 35, 36, 39, 44, 46, 47, 49], [0], [3, 5, 6, 8, 16, 21, 25], [13], [2, 4, 7, 9, 10, 24], [19, 22, 26, 30], [1, 11, 17, 20], [12, 14, 15, 18, 23], [31, 32, 37, 40, 42, 43, 48]]"
eilon50 , Matching ,50,2,0.2,0.5,23,12.702422,0," [[2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [17, 19, 21, 22, 25, 26, 28, 29, 33, 34, 36]]",23,0,1.637122,0," [[2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [17, 19, 21, 22, 25, 26, 28, 29, 33, 34, 36]]",23,0,1.70619,0," [[2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [17, 19, 21, 22, 25, 26, 28, 29, 33, 34, 36]]"
eilon50 , Matching ,50,6,0.2,0.5,49,225.975292,0," [[11, 16, 17, 19, 20, 21, 22, 25, 26], [0, 1, 3, 5, 6, 8], [2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [31, 32, 37, 40, 42, 43, 48], [28, 29, 33, 38, 41, 45, 46], [30, 34, 35, 36, 39, 44, 47, 49]]",49,0,21.098761,0," [[2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [17, 19, 20, 26, 30, 35, 36], [27, 28, 29, 38, 41, 45], [1, 3, 5, 6, 8, 11, 16, 21, 22, 25], [33, 34, 39, 44, 46, 47, 49], [31, 32, 37, 40, 42, 43, 48]]",49,0,20.983775,0," [[2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [17, 19, 20, 26, 30, 35, 36], [27, 28, 29, 38, 41, 45], [1, 3, 5, 6, 8, 11, 16, 21, 22, 25], [33, 34, 39, 44, 46, 47, 49], [31, 32, 37, 40, 42, 43, 48]]"
eilon50 , Matching ,50,10,0.2,0.5,50,34.285687,0," [[26, 32, 35, 39], [2, 4, 7, 9, 10, 15, 24], [12, 14, 18, 19, 20, 23], [30, 44, 47, 49], [0, 1, 3, 5, 6], [8, 11, 13, 16], [17, 21, 22, 33, 34], [31, 37, 40, 42, 43, 48], [25, 27, 36], [28, 29, 38, 41, 45, 46]]",50,9,2.622522,0," [[31, 32, 37, 40, 42, 43, 48], [2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [39, 47], [6, 16, 25, 27], [11, 17, 21, 28], [49], [0, 1, 3, 5, 8, 22], [36, 44], [29, 33, 38, 41, 45, 46], [19, 20, 26, 30, 34, 35]]",50,9,2.727921,0," [[31, 32, 37, 40, 42, 43, 48], [2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 23, 24], [39, 47], [6, 16, 25, 27], [11, 17, 21, 28], [49], [0, 1, 3, 5, 8, 22], [36, 44], [29, 33, 38, 41, 45, 46], [19, 20, 26, 30, 34, 35]]"
eilon50 , Matching ,50,2,0.3,0.3,30,13.607538,0," [[10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 33, 34, 35, 36], [31, 32, 37, 39, 40, 42, 43, 47, 48, 49]]",30,3868,138.890584,0," [[12, 14, 15, 23, 24, 26, 30, 31, 32, 37, 40, 43], [10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 33, 34, 35, 36, 39]]",30,3868,138.75302,0," [[12, 14, 15, 23, 24, 26, 30, 31, 32, 37, 40, 43], [10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 33, 34, 35, 36, 39]]"
eilon50 , Matching ,50,6,0.3,0.3,50,15.224317,0," [[7, 13, 14, 15, 20, 23], [31, 42, 48], [2, 4, 9, 10, 11, 12, 17, 18, 19, 24], [0, 1, 3, 5, 6, 8, 16, 21, 22], [26, 30, 32, 34, 35, 36, 37, 40, 43, 47, 49], [25, 27, 28, 29, 33, 38, 39, 41, 44, 45, 46]]",50,2822,172.358866,0," [[33, 36, 41, 45, 46, 47, 49], [17, 21, 28, 29, 34, 38, 44], [1, 5, 8, 11, 16, 22, 23, 25, 26, 27], [0, 3, 6, 10, 13, 19], [2, 4, 7, 9, 12, 14, 15, 18, 20, 30, 31, 32], [24, 35, 37, 39, 40, 42, 43, 48]]",50,2822,173.116414,0," [[33, 36, 41, 45, 46, 47, 49], [17, 21, 28, 29, 34, 38, 44], [1, 5, 8, 11, 16, 22, 23, 25, 26, 27], [0, 3, 6, 10, 13, 19], [2, 4, 7, 9, 12, 14, 15, 18, 20, 30, 31, 32], [24, 35, 37, 39, 40, 42, 43, 48]]"
eilon50 , Matching ,50,10,0.3,0.3,50,7.048345,0," [[11, 17, 22, 23, 26, 30, 34, 35], [0, 1], [2, 4, 7, 9, 12, 14, 15, 20], [18, 24, 31, 32, 40, 42, 43], [37, 48, 49], [33, 36, 45], [27, 29, 38, 39, 41, 44, 46], [13], [3, 5, 6, 8, 10, 16, 25], [19, 21, 28, 47]]",50,0,5.3741,0," [[12, 14, 15, 18, 24, 30, 31, 32, 35, 37, 39], [11, 17, 21, 22, 33, 36, 44], [27, 38, 45, 47, 49], [41, 46], [40, 42, 43, 48], [2, 4], [7, 9], [13, 16, 19, 26, 34], [0, 3, 6], [1, 5, 8, 10, 20, 23, 25, 28, 29]]",50,0,5.81536,0," [[12, 14, 15, 18, 24, 30, 31, 32, 35, 37, 39], [11, 17, 21, 22, 33, 36, 44], [27, 38, 45, 47, 49], [41, 46], [40, 42, 43, 48], [2, 4], [7, 9], [13, 16, 19, 26, 34], [0, 3, 6], [1, 5, 8, 10, 20, 23, 25, 28, 29]]"
eilon50 , Matching ,50,2,0.3,0.5,34,12.740178,0," [[17, 19, 21, 22, 25, 26, 27, 28, 29, 30, 33, 34, 35, 36, 39, 41, 44, 46, 47], [2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 20, 23, 24, 31, 32]]",34,41,6.955057,0," [[17, 19, 21, 22, 25, 27, 28, 29, 30, 33, 34, 35, 36, 39, 41, 44, 46, 47], [2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 20, 23, 24, 26, 31, 32]]",34,41,7.161916,0," [[17, 19, 21, 22, 25, 27, 28, 29, 30, 33, 34, 35, 36, 39, 41, 44, 46, 47], [2, 4, 7, 9, 10, 12, 13, 14, 15, 18, 20, 23, 24, 26, 31, 32]]"
eilon50 , Matching ,50,6,0.3,0.5,50,1.765821,0," [[0, 1, 3, 5, 6, 8, 10, 11, 13, 16], [2, 4, 7, 9, 12, 14, 15, 18, 20, 23, 24, 26, 30, 32], [36, 37, 39, 40, 42, 43, 49], [31, 48], [38, 44, 45, 47], [17, 19, 21, 22, 25, 27, 28, 29, 33, 34, 35, 41, 46]]",50,0,5.164919,0," [[1, 3, 5, 6, 8, 10, 11, 13, 16, 17, 19, 20, 21, 22, 25, 27, 28, 29], [33, 35, 36, 38, 41, 44, 45, 46, 47, 49], [30, 34], [0], [31, 32, 37, 39, 40, 42, 43, 48], [2, 4, 7, 9, 12, 14, 15, 18, 23, 24, 26]]",50,0,5.400461,0," [[1, 3, 5, 6, 8, 10, 11, 13, 16, 17, 19, 20, 21, 22, 25, 27, 28, 29], [33, 35, 36, 38, 41, 44, 45, 46, 47, 49], [30, 34], [0], [31, 32, 37, 39, 40, 42, 43, 48], [2, 4, 7, 9, 12, 14, 15, 18, 23, 24, 26]]"
eilon50 , Matching ,50,10,0.3,0.5,50,27.372782,0," [[3, 13, 17, 19, 20, 23], [6, 8, 16, 26], [2, 4, 12, 14, 15, 18, 24], [22, 27, 28, 29, 33, 36, 41, 44, 45, 46, 47], [0, 25], [9, 10, 11, 21], [38], [1, 5], [7, 30, 31], [32, 34, 35, 37, 39, 40, 42, 43, 48, 49]]",50,37,7.390512,0," [[11, 12, 13, 18, 22, 23, 24, 30, 34], [28, 29, 33, 35, 36, 38, 39, 41, 44, 45, 46, 47, 49], [9, 32], [0, 3, 27], [1, 2, 4, 8, 10, 26], [31, 42, 48], [7, 19], [37, 40, 43], [6, 17, 21, 25], [5, 14, 15, 16, 20]]",50,37,7.642754,0," [[11, 12, 13, 18, 22, 23, 24, 30, 34], [28, 29, 33, 35, 36, 38, 39, 41, 44, 45, 46, 47, 49], [9, 32], [0, 3, 27], [1, 2, 4, 8, 10, 26], [31, 42, 48], [7, 19], [37, 40, 43], [6, 17, 21, 25], [5, 14, 15, 16, 20]]"
