Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon30_1 , Star-Ring ,30,10,0.2,0.3,25,3600.02676,0.04," [[17], [1, 3, 19], [6, 23, 24, 27], [13, 28], [7], [10, 20], [18], [0, 5, 9, 21], [4, 11, 22, 26], [2, 8, 25]]",25,40464,3605.051436,0.04," [[1, 7, 19], [21], [0, 3, 9], [18], [17, 24], [23], [6, 10, 20, 27], [13, 28], [8, 25], [2, 4, 5, 11, 22, 26]]",25,40766,3610.1018,0.04," [[1, 7, 19], [21], [0, 3, 9], [18], [17, 24], [23], [6, 10, 20, 27], [13, 28], [8, 25], [2, 4, 5, 11, 22, 26]]"
eilon30_2 , Star-Ring ,30,10,0.2,0.3,28,880.649919,0," [[6, 16], [2], [25], [18], [1], [0, 10, 14], [4, 13, 24], [3, 9, 12, 17, 19, 22, 26, 27, 28], [5, 11, 20, 21], [7, 15, 29]]",27,34069,3604.03125,0.074074," [[16, 19, 20], [29], [0, 15], [2, 7, 11], [5, 21], [3, 6, 9, 12, 26, 27, 28], [17, 22], [10, 13, 24], [1, 4, 18], [14]]",27,34441,3601.137878,0.074074," [[16, 19, 20], [29], [0, 15], [2, 7, 11], [5, 21], [3, 6, 9, 12, 26, 27, 28], [17, 22], [10, 13, 24], [1, 4, 18], [14]]"
eilon30_3 , Star-Ring ,30,10,0.2,0.3,25,1299.084817,0," [[6], [17, 22], [15, 18, 21], [1, 14, 19], [24], [3, 11], [27], [13, 20, 23, 25], [4, 8, 16, 28], [0, 9, 10, 12]]",25,10,1.36425,0," [[6, 13, 14], [9], [0, 10, 12, 16, 21, 22], [17, 20], [27], [23, 25], [4, 8, 28], [18], [1, 3, 11, 24], [15, 19]]",25,10,1.458165,0," [[6, 13, 14], [9], [0, 10, 12, 16, 21, 22], [17, 20], [27], [23, 25], [4, 8, 28], [18], [1, 3, 11, 24], [15, 19]]"
eilon30_4 , Star-Ring ,30,10,0.2,0.3,27,159.199624,0," [[1, 2, 24], [9, 12, 22], [3, 7, 16, 18], [0, 11, 15], [25, 27, 28], [6, 8, 14], [17], [19, 20, 21, 29], [10], [13, 26]]",27,26,2.331569,0," [[2, 3, 21], [10, 13, 19, 24, 26], [15, 22], [0, 7, 11, 16, 25], [27], [17], [14, 18], [6, 8, 20, 29], [1, 28], [9, 12]]",27,26,2.404983,0," [[2, 3, 21], [10, 13, 19, 24, 26], [15, 22], [0, 7, 11, 16, 25], [27], [17], [14, 18], [6, 8, 20, 29], [1, 28], [9, 12]]"
eilon30_5 , Star-Ring ,30,10,0.2,0.3,26,1136.350695,0," [[3, 8, 9, 12, 18], [7, 27], [10], [11, 28], [14, 15], [0, 4, 20], [19], [2, 23], [17, 22, 25, 29], [1, 6, 24, 26]]",26,23,2.041416,0," [[3, 19], [10, 11], [18], [0, 20], [14, 15], [12, 17], [4, 7, 27], [1, 6, 9, 24, 26], [8, 22, 25, 29], [2, 23, 28]]",26,23,2.070065,0," [[3, 19], [10, 11], [18], [0, 20], [14, 15], [12, 17], [4, 7, 27], [1, 6, 9, 24, 26], [8, 22, 25, 29], [2, 23, 28]]"
eilon30_1 , Star-Ring ,30,2,0.2,0.5,15,0.915094,0," [[2, 5, 7, 11, 17, 22, 26], [1, 6, 10, 18, 19, 23, 24, 28]]",15,10,0.540286,0," [[2, 4, 5, 11, 17, 22, 25, 26], [1, 6, 10, 19, 23, 24, 28]]",15,10,0.554293,0," [[2, 4, 5, 11, 17, 22, 25, 26], [1, 6, 10, 19, 23, 24, 28]]"
eilon30_2 , Star-Ring ,30,2,0.2,0.5,18,0.766569,0," [[1, 2, 5, 7, 11, 16, 19, 20, 21], [3, 6, 9, 12, 17, 22, 26, 27, 28]]",18,0,0.332518,0," [[3, 6, 9, 12, 17, 19, 22, 26, 27, 28], [1, 2, 5, 7, 11, 16, 20, 21]]",18,0,0.933534,0," [[3, 6, 9, 12, 17, 19, 22, 26, 27, 28], [1, 2, 5, 7, 11, 16, 20, 21]]"
eilon30_3 , Star-Ring ,30,2,0.2,0.5,15,1.072718,0," [[6, 9, 10, 12, 16, 17, 18, 19, 21, 22], [1, 3, 11, 14, 24]]",15,0,0.364843,0," [[13, 20, 23, 25, 27], [4, 6, 9, 10, 16, 17, 18, 19, 21, 22]]",15,0,0.331963,0," [[13, 20, 23, 25, 27], [4, 6, 9, 10, 16, 17, 18, 19, 21, 22]]"
eilon30_4 , Star-Ring ,30,2,0.2,0.5,15,0.655949,0," [[6, 8, 14, 20, 21, 28, 29], [1, 2, 3, 7, 11, 16, 18, 25]]",15,0,0.417991,0," [[6, 8, 14, 20, 21, 28, 29], [1, 2, 3, 7, 11, 18, 24, 25]]",15,0,0.423028,0," [[6, 8, 14, 20, 21, 28, 29], [1, 2, 3, 7, 11, 18, 24, 25]]"
eilon30_5 , Star-Ring ,30,2,0.2,0.5,14,1.137178,0," [[6, 7, 8, 9, 18, 20, 24, 26], [3, 10, 12, 17, 23, 28]]",14,0,0.799938,0," [[7, 8, 9, 18, 20, 24, 26], [1, 6, 13, 21, 22, 25, 29]]",14,0,0.324252,0," [[7, 8, 9, 18, 20, 24, 26], [1, 6, 13, 21, 22, 25, 29]]"
