Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon40_4 , Line ,40,2,0.2,0.5,19,8.239819,0," [[4, 5, 6, 18, 20, 24, 27, 32, 34], [0, 3, 9, 15, 19, 26, 28, 29, 35, 39]]",19,0,0.877061,0," [[0, 3, 9, 15, 19, 26, 28, 29, 35, 39], [4, 5, 6, 18, 20, 24, 27, 32, 34]]",19,0,0.946328,0," [[0, 3, 9, 15, 19, 26, 28, 29, 35, 39], [4, 5, 6, 18, 20, 24, 27, 32, 34]]"
eilon40_5 , Line ,40,2,0.2,0.5,18,10.849788,0," [[0, 8, 13, 15, 27, 34, 36, 38], [2, 6, 7, 16, 22, 23, 31, 32, 33, 35]]",18,3,0.869941,0," [[2, 6, 7, 16, 22, 23, 31, 32, 33, 35], [0, 8, 13, 15, 27, 34, 36, 38]]",18,3,1.166731,0," [[2, 6, 7, 16, 22, 23, 31, 32, 33, 35], [0, 8, 13, 15, 27, 34, 36, 38]]"
eilon40_1 , Line ,40,6,0.2,0.5,40,50.581329,0," [[1, 8, 17, 27, 32, 33, 34], [3, 7, 19, 28, 35], [2, 5, 11, 18, 21, 22, 24, 36, 38], [6, 15, 25, 29, 31, 39], [0, 10, 12, 23, 26, 37], [4, 9, 13, 14, 16, 20, 30]]",40,9,1.938218,0," [[3, 7, 19, 28, 35], [2, 5, 11, 18, 21, 22, 24, 36, 38], [6, 10, 15, 25, 29, 31, 39], [0, 12, 23, 26, 37], [4, 13, 14, 16, 20, 30], [1, 8, 9, 17, 27, 32, 33, 34]]",40,9,1.950307,0," [[3, 7, 19, 28, 35], [2, 5, 11, 18, 21, 22, 24, 36, 38], [6, 10, 15, 25, 29, 31, 39], [0, 12, 23, 26, 37], [4, 13, 14, 16, 20, 30], [1, 8, 9, 17, 27, 32, 33, 34]]"
eilon40_2 , Line ,40,6,0.2,0.5,40,54.397668,0," [[0, 2, 9, 14, 28, 33], [5, 7, 19, 22], [3, 15, 25, 26, 31], [6, 13, 16, 17, 21, 23, 27, 30, 32, 35], [4, 8, 10, 18, 24, 34, 36, 39], [1, 11, 12, 20, 29, 37, 38]]",40,0,0.989024,0," [[1, 11, 12, 20, 29, 37, 38], [4, 8, 10, 18, 24, 34, 36, 39], [0, 2, 9, 14, 28, 33], [5, 7, 19, 22], [3, 15, 25, 26, 31], [6, 13, 16, 17, 21, 23, 27, 30, 32, 35]]",40,0,1.076651,0," [[1, 11, 12, 20, 29, 37, 38], [4, 8, 10, 18, 24, 34, 36, 39], [0, 2, 9, 14, 28, 33], [5, 7, 19, 22], [3, 15, 25, 26, 31], [6, 13, 16, 17, 21, 23, 27, 30, 32, 35]]"
eilon40_3 , Line ,40,6,0.2,0.5,40,45.657473,0," [[12, 23, 26, 29, 35, 36], [5, 9, 17, 18, 27, 33], [2, 4, 19, 25, 32, 37, 39], [0, 1, 3, 6, 10, 11, 14, 15, 38], [7, 8, 16, 20, 22, 30, 31, 34], [13, 21, 24, 28]]",40,7,2.041543,0," [[2, 4, 19, 25, 32, 37, 39], [12, 23, 26, 29, 35, 36], [13, 21, 24, 28], [7, 8, 16, 17, 20, 30, 31, 34], [5, 9, 14, 18, 22, 27, 33], [0, 1, 3, 6, 10, 11, 15, 38]]",40,7,2.074858,0," [[2, 4, 19, 25, 32, 37, 39], [12, 23, 26, 29, 35, 36], [13, 21, 24, 28], [7, 8, 16, 17, 20, 30, 31, 34], [5, 9, 14, 18, 22, 27, 33], [0, 1, 3, 6, 10, 11, 15, 38]]"
eilon40_4 , Line ,40,6,0.2,0.5,40,36.23854,0," [[13, 21, 30, 33, 38], [1, 11, 15, 16, 25, 37, 39], [3, 8, 9, 17, 23, 26], [2, 7, 10, 12, 22, 31], [0, 14, 19, 27, 28, 29, 35], [4, 5, 6, 18, 20, 24, 32, 34, 36]]",40,38,8.488838,0," [[1, 11, 15, 16, 25, 37, 39], [3, 8, 9, 17, 23, 26], [2, 7, 10, 12, 22, 31], [0, 14, 19, 27, 28, 29, 35], [4, 5, 6, 18, 20, 24, 32, 34, 36], [13, 21, 30, 33, 38]]",40,38,8.541024,0," [[1, 11, 15, 16, 25, 37, 39], [3, 8, 9, 17, 23, 26], [2, 7, 10, 12, 22, 31], [0, 14, 19, 27, 28, 29, 35], [4, 5, 6, 18, 20, 24, 32, 34, 36], [13, 21, 30, 33, 38]]"
eilon40_5 , Line ,40,6,0.2,0.5,40,68.454427,0," [[0, 11, 27, 34, 36, 38], [10, 12, 14, 19, 20, 37], [3, 17, 18, 25, 26, 28, 30, 32], [2, 6, 16, 22, 23, 31, 33, 35], [4, 5, 7, 21, 29], [1, 8, 9, 13, 15, 24, 39]]",40,25,3.15769,0," [[3, 17, 18, 25, 26, 28, 30], [2, 7, 16, 22, 23, 31, 32, 33, 35], [4, 5, 6, 21, 29], [1, 8, 9, 15, 24, 39], [0, 11, 13, 27, 34, 36, 38], [10, 12, 14, 19, 20, 37]]",40,25,3.259334,0," [[3, 17, 18, 25, 26, 28, 30], [2, 7, 16, 22, 23, 31, 32, 33, 35], [4, 5, 6, 21, 29], [1, 8, 9, 15, 24, 39], [0, 11, 13, 27, 34, 36, 38], [10, 12, 14, 19, 20, 37]]"
eilon40_1 , Line ,40,10,0.2,0.5,40,27.317223,0," [[32], [9, 15], [1, 17, 27, 33, 34], [3, 7, 19, 28, 35], [2, 5, 11, 18, 21, 22, 24, 36], [8], [0, 10, 12, 23, 26, 39], [13, 14, 16, 30, 37], [6, 25, 29, 31, 38], [4, 20]]",40,4,1.140098,0," [[3, 7, 19, 28, 35], [6, 15, 25, 29, 31, 38], [21], [11, 22, 24], [2, 5, 18, 36], [8, 27, 32], [0, 10, 12, 23, 26, 39], [1, 4, 20, 30], [9, 13, 14, 16, 37], [17, 33, 34]]",40,4,1.171813,0," [[3, 7, 19, 28, 35], [6, 15, 25, 29, 31, 38], [21], [11, 22, 24], [2, 5, 18, 36], [8, 27, 32], [0, 10, 12, 23, 26, 39], [1, 4, 20, 30], [9, 13, 14, 16, 37], [17, 33, 34]]"
eilon40_2 , Line ,40,10,0.2,0.5,40,56.005982,0," [[12, 20, 29, 37, 38], [18, 36], [1, 10, 14, 24, 39], [6, 13, 17, 21, 27], [3, 15, 25, 26, 31], [7, 8, 19, 22], [2, 5, 9, 33], [28], [0, 11], [4, 16, 23, 30, 32, 34, 35]]",40,42,3.829196,0," [[3, 15, 25, 26, 31], [4, 8, 10, 18, 24, 34], [12], [19], [7, 9, 22], [0, 2, 14, 39], [5, 28, 33], [16, 36], [1, 11, 20, 29, 37, 38], [6, 13, 17, 21, 23, 27, 30, 32, 35]]",40,42,3.915506,0," [[3, 15, 25, 26, 31], [4, 8, 10, 18, 24, 34], [12], [19], [7, 9, 22], [0, 2, 14, 39], [5, 28, 33], [16, 36], [1, 11, 20, 29, 37, 38], [6, 13, 17, 21, 23, 27, 30, 32, 35]]"
eilon40_3 , Line ,40,10,0.2,0.5,40,13.861041,0," [[9, 17, 21, 26, 27, 31], [7, 8, 20, 22], [24], [4, 14, 32], [18, 29, 35], [12, 13, 23, 28, 36], [16, 30, 33, 34], [0, 6, 10, 15, 38], [2, 19, 25, 37, 39], [1, 3, 5, 11]]",40,197,10.571893,0," [[2, 4, 19, 25, 32, 35, 37], [18, 22, 27], [9, 12, 21], [13, 23, 26, 28, 29, 36], [24, 31], [0, 3, 5, 6, 10, 15], [7, 8, 30], [11, 16, 17, 20, 33, 34], [14, 39], [1, 38]]",40,197,10.645845,0," [[2, 4, 19, 25, 32, 35, 37], [18, 22, 27], [9, 12, 21], [13, 23, 26, 28, 29, 36], [24, 31], [0, 3, 5, 6, 10, 15], [7, 8, 30], [11, 16, 17, 20, 33, 34], [14, 39], [1, 38]]"
eilon40_4 , Line ,40,10,0.2,0.5,40,22.103318,0," [[3, 8, 9, 23, 26], [12, 31], [14, 19, 29, 35], [4, 5, 18, 20, 36], [0, 2, 7, 10, 22, 28], [6, 24, 27, 34], [11, 15, 17, 39], [13, 21, 30, 37, 38], [32, 33], [1, 16, 25]]",40,3141,230.731566,0," [[5, 19, 27, 32], [1, 11, 15, 25, 39], [21, 30, 37], [13, 16, 33, 38], [0, 35], [34, 36], [10, 12], [4, 6, 20, 24], [2, 7, 14, 18, 22, 28, 29, 31], [3, 8, 9, 17, 23, 26]]",40,3141,230.654942,0," [[5, 19, 27, 32], [1, 11, 15, 25, 39], [21, 30, 37], [13, 16, 33, 38], [0, 35], [34, 36], [10, 12], [4, 6, 20, 24], [2, 7, 14, 18, 22, 28, 29, 31], [3, 8, 9, 17, 23, 26]]"
